Category	Brand	Your SKU	Product ID	Product Name	Number of merchants	Price	Lowest price incl us	Lowest price incl us	Lowest price excl us	Lowest price excl us	Popularity Rank (category)	Popularity Rank (global)	Price 1 - Merchant Name	Price 1 - Price	Price 1 - Stock status	Price 1 - Shipping cost	Price 2 - Merchant Name	Price 2 - Price	Price 2 - Stock status	Price 2 - Shipping cost	Price 3 - Merchant Name	Price 3 - Price	Price 3 - Stock status	Price 3 - Shipping cost	Price 4 - Merchant Name	Price 4 - Price	Price 4 - Stock status	Price 4 - Shipping cost	Price 5 - Merchant Name	Price 5 - Price	Price 5 - Stock status	Price 5 - Shipping cost	Price 6 - Merchant Name	Price 6 - Price	Price 6 - Stock status	Price 6 - Shipping cost	Price 7 - Merchant Name	Price 7 - Price	Price 7 - Stock status	Price 7 - Shipping cost	Price 8 - Merchant Name	Price 8 - Price	Price 8 - Stock status	Price 8 - Shipping cost	Price 9 - Merchant Name	Price 9 - Price	Price 9 - Stock status	Price 9 - Shipping cost	Price 10 - Merchant Name	Price 10 - Price	Price 10 - Stock status	Price 10 - Shipping cost	Link to product	Gtin14
Accesspunkter, Bryggor & Repeatrar	Google	780008-01	5221532	Google Nest Wifi Point	19	1 790,00	Compumail	1 345,00	Compumail	1 345,00	12	13348	Compumail	1 345,00	In stock	62,00	Elgruvan	1 389,00	In stock	0,00	Amazon.se	1 465,00	In stock		ComputerSalg.se	1 466,00	In stock	0,00	Webhallen SE	1 499,00	In stock	0,00	Elektronikhuset Ljud & Data	1 619,00	Unknown stock status	0,00	Proshop	1 666,00	In stock	0,00	Coolshop SE	1 749,00	In stock	0,00	Spelbutiken	1 749,00	In stock	0,00	tink	1 790,00	In stock	0,00	https://www.pricerunner.se/pl/272-5221532/Accesspunkter-Bryggor-Repeatrar/Google-Nest-Wifi-Point-priser	00193575004648
Barnsäkerhet		124002-01	3202549628	EBO	8	1 290,00	tink	1 290,00	Amazon.se	1 463,15			tink	1 290,00	In stock	0,00	Amazon.se	1 463,15	In stock		ShopBetter.se	1 479,99	In stock	0,00	ullakulla se	1 489,99	In stock	0,00	Cdon	1 552,40	In stock	19,00	Allectra	1 589,00	In stock	99,00	Coolpriser.se	1 711,00	In stock	39,00	RDEButik	1 774,00	Unknown stock status	169,00									https://www.pricerunner.se/pl/497-3202549628/Barnsaekerhet/EBO-priser	06972822120188
Batterier & Laddbart	Ring	360008-01	5151271	Ring Quick Release	15	349,00	ComputerSalg.se	305,00	ComputerSalg.se	305,00	643	58960	ComputerSalg.se	305,00	Out of stock	49,00	Compumail	318,00	In stock	62,00	Inet	339,00	Out of stock	0,00	Elgiganten	346,00	In stock	39,00	tink	349,00	In stock	0,00	Proshop	355,00	In stock	59,00	Kjell & Company	379,90	In stock	49,00	Cdon	386,00	In stock	0,00	Dustin Home	395,00	In stock	69,00	Westium Data	440,00	In stock	150,00	https://www.pricerunner.se/pl/528-5151271/Batterier-Laddbart/Ring-Quick-Release-priser	00842861101041
Batterier & Laddbart	Spacetalk	370003-01	3202903647	Spacetalk Adventurer Charging Dock and Stand	1	340,00	tink	340,00					tink	340,00	In stock	0,00																																					https://www.pricerunner.se/pl/528-3202903647/Batterier-Laddbart/Spacetalk-Adventurer-Charging-Dock-and-Stand-priser	00744109302541
Batterier & Laddbart	Arlo	1210016-01	3200468484	Arlo VMA5600B-20000S	14	749,00	Cdon	699,00	Cdon	699,00	1745	158134	Cdon	699,00	In stock	0,00	Inet	699,00	In stock	0,00	tink	749,00	In stock	0,00	Webhallen SE	749,00	Out of stock	0,00	Elgiganten	749,00	In stock	39,00	Gravis.de	772,27	In stock	275,74	MJ Multimedia	779,00	Out of stock	89,00	Coolshop SE	793,00	In stock	0,00	Elon	795,00	In stock	0,00	Komplett	799,00	In stock	0,00	https://www.pricerunner.se/pl/528-3200468484/Batterier-Laddbart/Arlo-VMA5600B-20000S-priser	00193108141574
Batterier & Laddbart	Arlo	1210016-02	3200347672	Arlo VMA5600-20000S	17	749,00	Cdon	699,00	Cdon	699,00	646	59141	Cdon	699,00	In stock	0,00	Inet	699,00	Out of stock	0,00	Compumail	703,00	In stock	62,00	St George Security Store	745,00	In stock	69,00	tink	749,00	In stock	0,00	Webhallen SE	749,00	In stock	0,00	MediaMarkt	749,00	In stock	0,00	Kjell & Company	749,00	In stock	0,00	Elgiganten	749,00	In stock	39,00	MJ Multimedia	779,00	Out of stock	89,00	https://www.pricerunner.se/pl/528-3200347672/Batterier-Laddbart/Arlo-VMA5600-20000S-priser	00193108141567
Batterier & Laddbart	Arlo	1210003-01	5280446	Arlo VMA3600	27	695,00	Power SE	466,00	Power SE	466,00	321	28865	Power SE	466,00	In stock	49,00	Proshop	466,00	In stock	59,00	Dustin Home	466,00	Preorder	69,00	Inet	495,00	In stock	0,00	Elgiganten	495,00	In stock	39,00	Webhallen SE	499,00	Out of stock	49,00	MJ Multimedia	500,00	Out of stock	89,00	ComputerSalg.se	541,00	In stock	49,00	Compumail	548,00	In stock	62,00	MediaMarkt	549,00	In stock	0,00	https://www.pricerunner.se/pl/528-5280446/Batterier-Laddbart/Arlo-VMA3600-priser	00193108141093
Batterier & Laddbart	ABUS	130009-01	3204612654	ABUS Solcellspanel (för WLAN Battery Cam) vit	3	654,00	tink	654,00	Cdon	990,00			tink	654,00	In stock	0,00	Cdon	990,00	In stock	59,00	ComputerSalg.se	1 732,00	In stock	0,00																													https://www.pricerunner.se/pl/528-3204612654/Batterier-Laddbart/ABUS-Solcellspanel-%28foer-WLAN-Battery-Cam%29-vit-priser	04003318966668
Batterier & Laddbart	Sonos	220003-01	3200110991	Sonos Roam Wireless Charger	20	549,00	Davids	498,00	Davids	498,00	159	15977	Davids	498,00	In stock	0,00	Komplett	498,00	In stock	19,00	MediaMarkt	498,00	In stock	49,00	Hi-Fi Klubben Sverige	498,00	In stock	0,00	Sonos	499,00	In stock	0,00	Inet	499,00	Out of stock	0,00	Hembiobutiken	499,00	In stock	0,00	Dustin Home	499,00	Preorder	29,00	Elgiganten	499,00	In stock	39,00	Gravis.de	540,66	In stock	275,74	https://www.pricerunner.se/pl/528-3200110991/Batterier-Laddbart/Sonos-Roam-Wireless-Charger-priser	08717755777973
Belysning	Meross	250019-01	3203897073	Meross MSL430HK Bordslampa	6	550,00	ComputerSalg.se	497,00	ComputerSalg.se	497,00	1389	84552	ComputerSalg.se	497,00	In stock	49,00	iPhonebutiken	499,00	Out of stock	49,00	tink	550,00	In stock	0,00	Compumail	591,00	Out of stock	62,00	Amazon.se	726,19	In stock		Fcomputer SE	739,00	In stock	69,00																	https://www.pricerunner.se/pl/460-3203897073/Belysning/Meross-MSL430HK-Bordslampa-priser	06973696560483
Belysning	Innr	800023-01	3203771111	Innr Utomhuslampa OPL Pollare	12	1 899,00	Compumail	1 536,00	Compumail	1 536,00			Compumail	1 536,00	Out of stock	0,00	ComputerSalg.se	1 565,00	In stock	0,00	Cdon	1 589,00	In stock	0,00	Buyersclub	1 739,00	In stock	0,00	Komplett	1 829,00	In stock	0,00	Proshop	1 829,00	In stock	0,00	Elon	1 890,00	In stock	0,00	tink	1 899,00	In stock	0,00	Elektronik24	2 069,00	In stock	49,00	Teknikproffset	2 199,00	Unknown stock status	0,00	https://www.pricerunner.se/pl/460-3203771111/Belysning/Innr-Utomhuslampa-OPL-Pollare-priser	08718781552770
Belysning	Twinkly	310009-01	3200233124	Twinkly Line Ljuslist	21	899,00	Proshop	496,00	Proshop	496,00	1599	94748	Proshop	496,00	In stock	59,00	ComputerSalg.se	497,00	In stock	49,00	Webhallen SE	499,00	In stock	49,00	Buyersclub	629,00	In stock	0,00	Compumail	636,00	In stock	62,00	Cdon	699,00	In stock	0,00	TVexperten	699,00	In stock	0,00	Vitvaruexperten	699,00	In stock	39,00	Fcomputer SE	726,00	In stock	69,00	Ginza AB	799,00	In stock	39,00	https://www.pricerunner.se/pl/460-3200233124/Belysning/Twinkly-Line-Ljuslist-priser	08056326677077
Belysning	Innr	800009-01	3203982567	Innr Flex Ljuslist	7	799,00	tink	799,00	Komplett	829,00			tink	799,00	In stock	0,00	Komplett	829,00	In stock	0,00	Proshop	892,00	Out of stock	59,00	ComputerSalg.se	948,00	In stock	49,00	Cdon	997,00	In stock	0,00	Lamp24	999,00	In stock	0,00	Buyersclub	1 069,00	In stock	0,00													https://www.pricerunner.se/pl/460-3203982567/Belysning/Innr-Flex-Ljuslist-priser	08718781552732
Belysning	Innr	800025-01	3203860164	Innr Lighting RSL 115 Spotlight	7	239,00	tink	239,00	Komplett	259,00			tink	239,00	In stock	0,00	Komplett	259,00	In stock	19,00	Lamp24	269,00	In stock	59,00	Proshop	297,00	Out of stock	59,00	ComputerSalg.se	758,00	In stock	59,00	Cdon	788,00	In stock	0,00	Buyersclub	839,00	In stock	0,00													https://www.pricerunner.se/pl/460-3203860164/Belysning/Innr-Lighting-RSL-115-Spotlight-priser	08718781552893
Belysning	Philips Hue	230040-01	3202207389	Philips Hue Xamento Recessed 1x5.7W Spotlight	16	839,00	Komplett	746,00	Komplett	746,00			Komplett	746,00	In stock	0,00	Power SE	749,00	In stock	0,00	Amazon.se	749,00	In stock		Proshop	753,00	In stock	59,00	ComputerSalg.se	788,00	In stock	49,00	Coolshop SE	795,00	In stock	0,00	Cdon	837,00	In stock	0,00	tink	839,00	In stock	0,00	Webhallen SE	839,00	In stock	0,00	Elgiganten	839,00	In stock	39,00	https://www.pricerunner.se/pl/460-3202207389/Belysning/Philips-Hue-Xamento-Recessed-1x5.7W-Spotlight-priser	08719514452138
Belysning	Twinkly	310008-02	3203970209	Twinkly RGB LED-listförlängning Ljuslist	5	499,00	tink	499,00	Lampmani	545,00			tink	499,00	In stock	0,00	Lampmani	545,00	In stock	99,00	Cdon	546,00	In stock	0,00	Bauhaus	599,00	In stock	0,00	Elgiganten	599,00	In stock	39,00																					https://www.pricerunner.se/pl/460-3203970209/Belysning/Twinkly-RGB-LED-listfoerlaengning-Ljuslist-priser	08056326677886
