Category	Brand	Your SKU	Product ID	Product Name	Number of merchants	Price	Lowest price incl us	Lowest price incl us	Lowest price excl us	Lowest price excl us	Popularity Rank (category)	Popularity Rank (global)	Price 1 - Merchant Name	Price 1 - Price	Price 1 - Stock status	Price 1 - Shipping cost	Price 2 - Merchant Name	Price 2 - Price	Price 2 - Stock status	Price 2 - Shipping cost	Price 3 - Merchant Name	Price 3 - Price	Price 3 - Stock status	Price 3 - Shipping cost	Price 4 - Merchant Name	Price 4 - Price	Price 4 - Stock status	Price 4 - Shipping cost	Price 5 - Merchant Name	Price 5 - Price	Price 5 - Stock status	Price 5 - Shipping cost	Price 6 - Merchant Name	Price 6 - Price	Price 6 - Stock status	Price 6 - Shipping cost	Price 7 - Merchant Name	Price 7 - Price	Price 7 - Stock status	Price 7 - Shipping cost	Price 8 - Merchant Name	Price 8 - Price	Price 8 - Stock status	Price 8 - Shipping cost	Price 9 - Merchant Name	Price 9 - Price	Price 9 - Stock status	Price 9 - Shipping cost	Price 10 - Merchant Name	Price 10 - Price	Price 10 - Stock status	Price 10 - Shipping cost	Link to product	Gtin14
Accesspunkter, Bryggor & Repeatrar	Google	780008-01	5221532	Google Nest Wifi Point	22	1 790,00	Amazon.se	885,14	Amazon.se	885,14	12	13957	Amazon.se	885,14	In stock		Compumail	1 266,00	In stock	62,00	ComputerSalg.se	1 324,00	In stock	0,00	Cdon	1 330,00	In stock	0,00	Elgruvan	1 389,00	In stock	0,00	Datagrottan	1 418,00	In stock	29,00	Webhallen SE	1 499,00	In stock	0,00	Elektronikhuset Ljud & Data	1 519,00	Unknown stock status	0,00	Emarket	1 529,00	In stock	0,00	Proshop	1 659,00	In stock	0,00	https://www.pricerunner.se/pl/272-5221532/Accesspunkter-Bryggor-Repeatrar/Google-Nest-Wifi-Point-priser	00193575004648
Barnsäkerhet		124002-01	3202549628	EBO	7	1 290,00	tink	1 290,00	Rabattklubb	1 509,99			tink	1 290,00	In stock	0,00	Rabattklubb	1 509,99	In stock	0,00	ShopBetter.se	1 519,99	In stock	0,00	ullakulla se	1 519,99	In stock	0,00	Coolpriser.se	1 711,00	In stock	39,00	Cdon	1 749,00	In stock	49,00	RDEButik	1 797,00	Unknown stock status	119,00													https://www.pricerunner.se/pl/497-3202549628/Barnsaekerhet/EBO-priser	06972822120188
Batterier & Laddbart	Ring	360008-01	5151271	Ring Quick Release	17	349,00	ComputerSalg.se	306,00	ComputerSalg.se	306,00	371	35689	ComputerSalg.se	306,00	In stock	49,00	Compumail	322,00	In stock	62,00	TechInn	332,99	In stock		Elgiganten	346,00	In stock	39,00	tink	349,00	In stock	0,00	Proshop	349,00	In stock	59,00	Kjell & Company	379,90	In stock	49,00	Datagrottan	390,00	In stock	29,00	Dustin Home	395,00	In stock	69,00	Elektronikhuset Ljud & Data	429,00	Unknown stock status	0,00	https://www.pricerunner.se/pl/528-5151271/Batterier-Laddbart/Ring-Quick-Release-priser	00842861101041
Batterier & Laddbart	Arlo	1210016-01	3200468484	Arlo VMA5600B-20000S	15	749,00	tink	749,00	Webhallen SE	749,00	390	36547	tink	749,00	In stock	0,00	Webhallen SE	749,00	In stock	0,00	Cdon	749,00	In stock	0,00	Inet	749,00	In stock	0,00	Elgiganten	749,00	In stock	39,00	MJ Multimedia	789,00	Out of stock	89,00	Gravis.de	791,05	In stock	282,44	Coolshop SE	793,00	Unknown stock status	0,00	Elon	795,00	In stock	0,00	Komplett	799,00	In stock	0,00	https://www.pricerunner.se/pl/528-3200468484/Batterier-Laddbart/Arlo-VMA5600B-20000S-priser	00193108141574
Batterier & Laddbart	Arlo	1210016-02	3200347672	Arlo VMA5600-20000S	19	749,00	Cdon	699,00	Cdon	699,00	318	30531	Cdon	699,00	In stock	0,00	Inet	699,00	In stock	0,00	St George Security Store	745,00	In stock	69,00	tink	749,00	In stock	0,00	Webhallen SE	749,00	In stock	0,00	MediaMarkt	749,00	In stock	0,00	Kjell & Company	749,00	In stock	0,00	Elgiganten	749,00	In stock	39,00	Multitech Data	753,00	In stock	95,00	MJ Multimedia	789,00	Out of stock	89,00	https://www.pricerunner.se/pl/528-3200347672/Batterier-Laddbart/Arlo-VMA5600-20000S-priser	00193108141567
Batterier & Laddbart	Arlo	1210003-01	5280446	Arlo VMA3600	28	695,00	Power SE	469,00	Power SE	469,00	59	6999	Power SE	469,00	Out of stock	49,00	Proshop	469,00	In stock	59,00	Dustin Home	469,00	In stock	69,00	Inet	495,00	In stock	0,00	Elgiganten	495,00	In stock	39,00	Webhallen SE	499,00	Out of stock	49,00	MJ Multimedia	509,00	Out of stock	89,00	MediaMarkt	549,00	Out of stock	0,00	Kjell & Company	549,00	In stock	0,00	Compumail	556,00	In stock	62,00	https://www.pricerunner.se/pl/528-5280446/Batterier-Laddbart/Arlo-VMA3600-priser	00193108141093
Batterier & Laddbart	ABUS	130009-01	3204612654	ABUS Solcellspanel (för WLAN Battery Cam) vit	3	654,00	tink	654,00	Cdon	1 547,00			tink	654,00	In stock	0,00	Cdon	1 547,00	In stock	0,00	ComputerSalg.se	1 765,00	In stock	0,00																													https://www.pricerunner.se/pl/528-3204612654/Batterier-Laddbart/ABUS-Solcellspanel-%28foer-WLAN-Battery-Cam%29-vit-priser	04003318966668
Batterier & Laddbart	Sonos	220003-02	3200110991	Sonos Roam Wireless Charger	19	549,00	Komplett	419,00	Komplett	419,00	281	26510	Komplett	419,00	In stock	19,00	Hi-Fi Klubben Sverige	419,00	In stock	29,00	Datia	446,00	Unknown stock status	124,00	Lomax	491,25	Unknown stock status	99,00	Davids	498,00	In stock	0,00	MediaMarkt	499,00	In stock	49,00	Sonos	499,00	In stock	0,00	Inet	499,00	In stock	0,00	Hembiobutiken	499,00	In stock	0,00	Dustin Home	499,00	In stock	29,00	https://www.pricerunner.se/pl/528-3200110991/Batterier-Laddbart/Sonos-Roam-Wireless-Charger-priser	08717755777966
Belysning	Meross	250019-01	3203897073	Meross MSL430HK Bordslampa	7	550,00	ComputerSalg.se	401,00	ComputerSalg.se	401,00	2628	162687	ComputerSalg.se	401,00	In stock	49,00	iPhonebutiken	499,00	Out of stock	49,00	Cdon	546,00	In stock	0,00	tink	550,00	In stock	0,00	Amazon.se	555,69	In stock		Compumail	598,00	Out of stock	62,00	Fcomputer SE	764,00	In stock	69,00													https://www.pricerunner.se/pl/460-3203897073/Belysning/Meross-MSL430HK-Bordslampa-priser	06973696560483
Belysning	Innr	800023-01	3203771111	Innr Utomhuslampa OPL Pollare	11	1 899,00	Cdon	1 299,00	Cdon	1 299,00			Cdon	1 299,00	In stock	0,00	Komplett	1 599,00	In stock	0,00	Proshop	1 841,00	In stock	0,00	ComputerSalg.se	1 846,00	In stock	0,00	Elon	1 890,00	In stock	0,00	tink	1 899,00	In stock	0,00	Buyersclub	1 949,00	In stock	49,00	Elektronik24	2 093,00	Out of stock	49,00	Teknikproffset	2 199,00	Unknown stock status	0,00	Lamp24	2 199,00	In stock	0,00	https://www.pricerunner.se/pl/460-3203771111/Belysning/Innr-Utomhuslampa-OPL-Pollare-priser	08718781552770
Belysning	Twinkly	310009-01	3200233124	Twinkly Line Ljuslist	20	899,00	Proshop	496,00	Proshop	496,00	969	63942	Proshop	496,00	In stock	59,00	Webhallen SE	499,00	Unknown stock status	49,00	ComputerSalg.se	506,00	In stock	49,00	Cdon	618,00	In stock	0,00	Buyersclub	629,00	In stock	49,00	Compumail	632,00	In stock	62,00	Hemmy	699,00	Out of stock	39,00	TVexperten	699,00	In stock	0,00	Vitvaruexperten	699,00	In stock	39,00	Fcomputer SE	751,00	In stock	69,00	https://www.pricerunner.se/pl/460-3200233124/Belysning/Twinkly-Line-Ljuslist-priser	08056326677077
Belysning	Innr	800009-01	3203982567	Innr Flex Ljuslist	7	799,00	ComputerSalg.se	705,00	ComputerSalg.se	705,00			ComputerSalg.se	705,00	In stock	49,00	Buyersclub	769,00	In stock	49,00	tink	799,00	In stock	0,00	Proshop	816,00	Out of stock	59,00	Komplett	829,00	In stock	0,00	Cdon	878,00	In stock	0,00	Lamp24	999,00	In stock	0,00													https://www.pricerunner.se/pl/460-3203982567/Belysning/Innr-Flex-Ljuslist-priser	08718781552732
Belysning	Innr	800025-01	3203860164	Innr Lighting RSL 115 Spotlight	6	239,00	tink	239,00	Komplett	259,00			tink	239,00	In stock	0,00	Komplett	259,00	In stock	19,00	Lamp24	269,00	In stock	59,00	Proshop	384,00	Out of stock	59,00	ComputerSalg.se	431,00	In stock	59,00	Buyersclub	489,00	In stock	49,00																	https://www.pricerunner.se/pl/460-3203860164/Belysning/Innr-Lighting-RSL-115-Spotlight-priser	08718781552893
Belysning	Philips Hue	230040-01	3202207389	Philips Hue Xamento Recessed 1x5.7W Spotlight	17	839,00	Komplett	746,00	Komplett	746,00			Komplett	746,00	In stock	0,00	Power SE	749,00	In stock	0,00	Elgiganten	749,00	In stock	39,00	Proshop	760,00	In stock	59,00	Amazon.se	762,00	In stock		Elbutik	770,00	Out of stock	49,00	ComputerSalg.se	790,00	In stock	49,00	Coolshop SE	795,00	In stock	0,00	Cdon	828,00	In stock	0,00	tink	839,00	In stock	0,00	https://www.pricerunner.se/pl/460-3202207389/Belysning/Philips-Hue-Xamento-Recessed-1x5.7W-Spotlight-priser	08719514452138
Belysning	Twinkly	310008-02	3203970209	Twinkly RGB LED-listförlängning Ljuslist	5	499,00	tink	499,00	Lampmani	545,00			tink	499,00	In stock	0,00	Lampmani	545,00	In stock	99,00	Cdon	555,00	In stock	0,00	Bauhaus	599,00	In stock	59,00	Elgiganten	599,00	In stock	39,00																					https://www.pricerunner.se/pl/460-3203970209/Belysning/Twinkly-RGB-LED-listfoerlaengning-Ljuslist-priser	08056326677886
Belysning	Philips Hue	230024-01	3739743	Philips Hue Plus V4 EMEA ext 1m Ljuslist	52	279,00	Power SE	258,00	Power SE	258,00	269	23252	Power SE	258,00	In stock	49,00	ComputerSalg.se	258,00	In stock	49,00	Amazon.se	258,00	In stock		Proshop	262,00	In stock	59,00	Elgiganten	262,00	In stock	39,00	Hornbach	272,00	In stock	59,90	tink	279,00	In stock	0,00	Proffsmagasinet	279,00	Out of stock	59,00	Mätteknik för alla	279,00	Out of stock	0,00	Ljushuset	279,00	Unknown stock status	0,00	https://www.pricerunner.se/pl/460-3739743/Belysning/Philips-Hue-Plus-V4-EMEA-ext-1m-Ljuslist-priser	08718699703448
Belysning	Twinkly	310009-02	3203467414	Twinkly Line Ljuslist	6	899,00	ComputerSalg.se	848,00	ComputerSalg.se	848,00			ComputerSalg.se	848,00	In stock	49,00	tink	899,00	In stock	0,00	Cdon	928,00	In stock	0,00	Lampmani	986,00	In stock	0,00	Bauhaus	1 049,00	In stock	59,00	Elgiganten	1 049,00	In stock	39,00																	https://www.pricerunner.se/pl/460-3203467414/Belysning/Twinkly-Line-Ljuslist-priser	08056326677879
Belysning	Philips Hue	230023-01	5227043	Philips Hue Lightstrip Plus V4 EMEA 2m Base kit Ljuslist	55	899,00	Power SE	649,00	Power SE	649,00	6	1242	Power SE	649,00	In stock	0,00	Amazon.se	649,00	In stock		Proshop	748,00	In stock	59,00	Elgiganten	748,00	In stock	39,00	Hornbach	773,00	In stock	59,90	MediaMarkt	799,00	In stock	0,00	Cdon	829,00	In stock	0,00	Inet	829,00	In stock	0,00	Elon	859,00	Out of stock	0,00	Elbutik	865,00	In stock	49,00	https://www.pricerunner.se/pl/460-5227043/Belysning/Philips-Hue-Lightstrip-Plus-V4-EMEA-2m-Base-kit-Ljuslist-priser	08718699703424
Belysning	Hombli	300025-01	3200949946	Hombli String Light Extension Lampdel	17	599,00	Compumail	538,00	Compumail	538,00			Compumail	538,00	In stock	62,00	Powerbanken	573,18	Unknown stock status		Proshop	590,00	In stock	59,00	Kjell & Company	590,00	In stock	0,00	tink	599,00	In stock	0,00	Coolshop SE	599,00	In stock	0,00	Cdon	599,00	In stock	29,00	Spelbutiken	599,00	In stock	0,00	Net2World	639,00	In stock	49,00	Datia	679,00	Unknown stock status	124,00	https://www.pricerunner.se/pl/460-3200949946/Belysning/Hombli-String-Light-Extension-Lampdel-priser	08719323918306
