product_id,product_name,brand_name,campaign_name,impressions,spend,inline_link_clicks,date_start,date_stop
14284,Hombli Smart Pathway Light Starter Kit - Smarte Wegeleuchten 3er-Pack + Extension,Hombli,tink_AT_PROSP_Conversion_22062022_dynamic_format,4773,26.82,51,2022-07-01,2022-07-01
13097,eufy Solocam Solar 2K S40 2er-Set,eufy,tink_AT_PROSP_Conversion_22062022_dynamic_format,3788,18.51,34,2022-07-01,2022-07-01
10014,Chromecast mit Google TV - Smart TV Stick - weiss,Chromecast,tink_AT_PROSP_Conversion_22062022_dynamic_format,1070,5.49,4,2022-07-01,2022-07-01
10998,Bosch Indego S+ 500 Mähroboter + Garage,Bosch,tink_AT_PROSP_Conversion_22062022_dynamic_format,1053,5.46,4,2022-07-01,2022-07-01
12779,eufy Smart Scale C1 - Körperwaage - weiß,eufy,Combined_AT_RET_Cat_09062022,999,6.46,1,2022-07-01,2022-07-01
13114,Yale Linus Smart Lock + Bridge + Adjustable Zylinder (30 - 60 mm längenverstellbar),Yale,tink_AT_PROSP_Conversion_22062022_dynamic_format,568,4.12,11,2022-07-01,2022-07-01
10996,Bosch Indego XS 300 Mähroboter + Garage,Bosch,tink_AT_PROSP_Conversion_22062022_dynamic_format,427,2.04,3,2022-07-01,2022-07-01
14246,Philips Hue White & Color Ambiance GU10 Bluetooth Starter Kit + Bewegungsmelder,Philips,tink_AT_PROSP_Conversion_22062022_dynamic_format,414,1.71,0,2022-07-01,2022-07-01
13097,eufy Solocam Solar 2K S40 2er-Set,eufy,Combined_AT_RET_Cat_09062022,345,3.23,3,2022-07-01,2022-07-01
10014,Chromecast mit Google TV - Smart TV Stick - weiss,Chromecast,Combined_AT_RET_Cat_09062022,298,1.97,1,2022-07-01,2022-07-01
14284,Hombli Smart Pathway Light Starter Kit - Smarte Wegeleuchten 3er-Pack + Extension,Hombli,Combined_AT_RET_Cat_09062022,296,2.68,1,2022-07-01,2022-07-01
14283,Eve Aqua + Eve Weather,Eve,tink_AT_PROSP_Conversion_22062022_dynamic_format,274,2.16,8,2022-07-01,2022-07-01
14261,Innr Smart Outdoor LED Streifen Colour 2 m Zigbee Lightlink 3er-Set,Innr,tink_AT_PROSP_Conversion_22062022_dynamic_format,248,2.48,5,2022-07-01,2022-07-01
6672,"Ring Stick Up Cam Battery 2er-Pack - Überwachungskamera für den Innen- und Außenbereich, Gen. 3",Ring,tink_AT_PROSP_Conversion_22062022_dynamic_format,239,1.33,2,2022-07-01,2022-07-01
13094,Xiaomi Mi Wireless Outdoor Security Camera 1080p Set mit 4 Außenkameras,Xiaomi,tink_AT_PROSP_Conversion_22062022_dynamic_format,239,2.31,6,2022-07-01,2022-07-01
13283,"Mennekes AMTRON Compact 3,7/11 C2 - Wallbox - grau",Mennekes,tink_AT_PROSP_Conversion_22062022_dynamic_format,212,1.16,4,2022-07-01,2022-07-01
14141,Husqvarna Akkuladegerät QC 330 - orange,Husqvarna,Combined_AT_RET_Cat_09062022,176,1.55,0,2022-07-01,2022-07-01
12584,Philips Hue Wandleuchte Appear 2er-Set,Philips,tink_AT_PROSP_Conversion_22062022_dynamic_format,153,0.86,2,2022-07-01,2022-07-01
11242,TP-Link Tapo C200 Sicherheits-WLAN-Kamera mit Schwenk- und Neigefunktion 2er-Set,TP-Link,tink_AT_PROSP_Conversion_22062022_dynamic_format,146,0.83,2,2022-07-01,2022-07-01
10285,Bosch Smart Home Wassermelder 2er-Set,Bosch,tink_AT_PROSP_Conversion_22062022_dynamic_format,134,1.44,1,2022-07-01,2022-07-01
