Category,Brand,Your SKU,Product ID,Product Name,Number of merchants,Price,Lowest price incl us,Lowest price incl us,Lowest price excl us,Lowest price excl us,Popularity Rank (category),Popularity Rank (global),Price 1 - Merchant Name,Price 1 - Price,Price 2 - Merchant Name,Price 2 - Price,Price 3 - Merchant Name,Price 3 - Price,Price 4 - Merchant Name,Price 4 - Price,Price 5 - Merchant Name,Price 5 - Price,Price 6 - Merchant Name,Price 6 - Price,Price 7 - Merchant Name,Price 7 - Price,Price 8 - Merchant Name,Price 8 - Price,Price 9 - Merchant Name,Price 9 - Price,Price 10 - Merchant Name,Price 10 - Price,Link to product,Gtin14
Belysning,Innr,8000005,3204097823,Innr Smart Spotlight,8,"1 805,25",Komplett,"1 639,00",Komplett,"1 639,00",,,Komplett,"1 639,00",Amazon.se,"1 669,00",tink,"1 805,25",Compumail,"1 816,00",ComputerSalg.se,"1 897,00",Lamp24,"1 899,00",Cdon,"1 919,00",Buyersclub,"2 119,00",,,,,https://www.pricerunner.se/pl/460-3204097823/Belysning/Innr-Smart-Spotlight-priser,8718781552541
Belysning,Philips Hue,230044-01,3201076006,Philips Hue Gradient Signe EU/UK Golvlampa,18,"3 679,00",Power SE,"2 939,00",Power SE,"2 939,00",306,20991,Power SE,"2 939,00",Amazon.se,"2 939,00",Dustin Home,"3 099,00",Webhallen SE,"3 190,00",Inet,"3 190,00",Komplett,"3 279,00",Compumail,"3 381,00",ComputerSalg.se,"3 409,00",Cdon,"3 580,00",tink,"3 679,00",https://www.pricerunner.se/pl/460-3201076006/Belysning/Philips-Hue-Gradient-Signe-EU-UK-Golvlampa-priser,8719514433526
Belysning,Twinkly,310005-01,3200025934,Twinkly Granguirlande Jullampa,7,"963,00",tink,"963,00",ComputerSalg.se,"970,00",,,tink,"963,00",ComputerSalg.se,"970,00",HusOchHemma,"1 119,00",VVS och BAD,"1 199,00",Villahome.se,"1 205,00",Elgiganten,"1 349,00",Amazon.se,"1 678,50",,,,,,,https://www.pricerunner.se/pl/460-3200025934/Belysning/Twinkly-Granguirlande-Jullampa-priser,8056326673802
Belysning,Innr,800035-01,3203806465,Innr Smart Round Takplafond,5,"1 099,00",tink,"1 099,00",Cdon,"1 099,00",,,tink,"1 099,00",Cdon,"1 099,00",Komplett,"1 199,00",Lamp24,"1 399,00",Fcomputer SE,"1 824,00",,,,,,,,,,,https://www.pricerunner.se/pl/460-3203806465/Belysning/Innr-Smart-Round-Takplafond-priser,8718781553203
Elartiklar,Hombli,300052-01,3200031423,Hombli HBSD-0109 2-way,7,"299,00",Proshop,"279,00",Proshop,"279,00",,,Proshop,"279,00",tink,"299,00",Net2World,"339,00",Tingstad,"357,50",Lilon,"549,00",Cdon,"549,00",Elektronik24,"550,00",,,,,,,https://www.pricerunner.se/pl/710-3200031423/Elartiklar/Hombli-HBSD-0109-2-way-priser,8719323914841
Elartiklar,Meross,250008-01,3201514696,Meross MSS210 Smart Wifi Plug,6,"249,00",ComputerSalg.se,"171,00",ComputerSalg.se,"171,00",,,ComputerSalg.se,"171,00",tink,"249,00",Proshop,"258,00",Mackablar,"259,00",iPhonebutiken,"279,00",Cdon,"609,00",,,,,,,,,https://www.pricerunner.se/pl/710-3201514696/Elartiklar/Meross-MSS210-Smart-Wifi-Plug-priser,680306685813
Elartiklar,Ring,360001-01,3200220317,Ring Video Doorbell Wired,12,"590,00",Proshop,"539,00",Proshop,"539,00",256,55606,Proshop,"539,00",MediaMarkt,"547,00",Dustin Home,"549,00",Elgiganten,"549,00",tink,"590,00",Webhallen SE,"649,00",Compumail,"707,00",Cdon,"729,00",Vitvaruexperten,"729,00",ComputerSalg.se,"747,00",https://www.pricerunner.se/pl/710-3200220317/Elartiklar/Ring-Video-Doorbell-Wired-priser,840080581354
Elartiklar,Hombli,300049-01,3200571125,Hombli Smart Socket (EU),6,"249,00",Proshop,"229,00",Proshop,"229,00",806,145049,Proshop,"229,00",tink,"249,00",Net2World,"279,00",Datia,"288,00",Compliq,"346,25",Lilon,"449,00",,,,,,,,,https://www.pricerunner.se/pl/710-3200571125/Elartiklar/Hombli-Smart-Socket-%28EU%29-priser,8719323914834
Elartiklar,EZVIZ,1430014-01,3200568571,EZVIZ Dörrklocka Smart Chime II vit,5,"409,00",ComputerSalg.se,"374,00",ComputerSalg.se,"374,00",,,ComputerSalg.se,"374,00",Cdon,"407,00",tink,"409,00",Låsgiganten,"419,00",Amazon.se,"467,53",,,,,,,,,,,https://www.pricerunner.se/pl/710-3200568571/Elartiklar/EZVIZ-Doerrklocka-Smart-Chime-II-vit-priser,6941545602455
Elartiklar,ABUS,130016-01,3703914,ABUS FUHA35000A 1-way,2,"486,00",tink,"486,00",Lamp24,"699,00",,,tink,"486,00",Lamp24,"699,00",,,,,,,,,,,,,,,,,https://www.pricerunner.se/pl/710-3703914/Elartiklar/ABUS-FUHA35000A-1-way-priser,4003318388330
Elartiklar,Aqara,330007-01,5244931,Aqara SP-EUC01 1-way,18,"399,00",Compumail,"268,00",Compumail,"268,00",30,7194,Compumail,"268,00",ComputerSalg.se,"286,00",Power SE,"288,00",Proshop,"288,00",Papmau,"288,00",Webhallen SE,"299,00",NetOnNet,"299,00",Cdon,"299,00",Komplett,"299,00",Byggmax,"299,00",https://www.pricerunner.se/pl/710-5244931/Elartiklar/Aqara-SP-EUC01-1-way-priser,6970504210646
Elartiklar,Google,7800013,3201309827,Google Nest Hello Doorbell Battery,8,"2 599,00",Net2World,"1 699,00",Net2World,"1 699,00",539,102889,Net2World,"1 699,00",Handelsavenyn,"2 449,00",Cdon,"2 474,00",Fcomputer SE,"2 476,00",ComputerSalg.se,"2 597,00",tink,"2 599,00",Fyndiq,"2 695,00",FireWallForce,"2 952,94",,,,,https://www.pricerunner.se/pl/710-3201309827/Elartiklar/Google-Nest-Hello-Doorbell-Battery-priser,193575008592
Elartiklar,Hombli,300011-01,3200546449,Hombli Doorbell Chime 2 (EU) Grey/White,9,"399,00",Datia,"354,00",Datia,"354,00",,,Datia,"354,00",Tingstad,"378,75",tink,"399,00",Net2World,"399,00",Compliq,"430,00",Kontorsgiganten,"583,75",Elektronik24,"597,00",Lilon,"609,00",Cdon,"609,00",,,https://www.pricerunner.se/pl/710-3200546449/Elartiklar/Hombli-Doorbell-Chime-2-%28EU%29-Grey-White-priser,8719323918573
Elartiklar,SwitchBot,50004-01,3201771190,SwitchBot Curtain Opener Robot U Rail White,4,"749,00",StyraHem,"699,00",StyraHem,"699,00",403,81342,StyraHem,"699,00",Proshop,"699,00",tink,"749,00",Webhallen SE,"849,00",,,,,,,,,,,,,https://www.pricerunner.se/pl/710-3201771190/Elartiklar/SwitchBot-Curtain-Opener-Robot-U-Rail-White-priser,850007706470
Elartiklar,Ring,360022-01,3200224989,Ring Video Doorbell 4,18,"1 649,00",Compumail,"1 617,00",Compumail,"1 617,00",115,26913,Compumail,"1 617,00",tink,"1 649,00",Power SE,"1 649,00",Proshop,"1 649,00",Komplett,"1 699,00",Dustin Home,"1 699,00",ComputerSalg.se,"1 779,00",Cdon,"1 819,00",Elektronikhuset Ljud & Data,"1 999,00",MediaMarkt,"2 187,00",https://www.pricerunner.se/pl/710-3200224989/Elartiklar/Ring-Video-Doorbell-4-priser,840080571805
Elartiklar,Innr,800007-2,3201985209,Innr OEC150 5m,9,"179,00",tink,"179,00",Amazon.se,"249,00",,,tink,"179,00",Amazon.se,"249,00",Komplett,"259,00",Compumail,"263,00",Lamp24,"269,00",ComputerSalg.se,"276,00",Cdon,"326,00",Fcomputer SE,"554,00",Elektronik24,"624,00",,,https://www.pricerunner.se/pl/710-3201985209/Elartiklar/Innr-OEC150-5m-priser,8718781552589
Elartiklar,Senic,1770002-04,3201772209,Senic FOH SMART-STRÖMBRYTARE ANTRACIT MATT 3 ST,6,"2 060,00",Amazon.se,"1 968,80",Amazon.se,"1 968,80",,,Amazon.se,"1 968,80",Power SE,"1 969,00",tink,"2 060,00",ComputerSalg.se,"2 597,00",Cdon,"2 597,00",Lamp24,"3 799,00",,,,,,,,,https://www.pricerunner.se/pl/710-3201772209/Elartiklar/Senic-FOH-SMART-STROEMBRYTARE-ANTRACIT-MATT-3-ST-priser,4260476940255
Elartiklar,Eufy,190014-01,5297723,Eufy Video Doorbell 2K,19,"2 309,89",NetOnNet,"1 890,00",NetOnNet,"1 890,00",26,5876,NetOnNet,"1 890,00",Clas Ohlson,"1 949,00",Nordicbox,"1 990,00",ComputerSalg.se,"2 039,00",Cdon,"2 099,00",Bygghemma,"2 199,00",Proshop,"2 217,00",Webhallen SE,"2 290,00",CyberPhoto,"2 290,00",Kjell & Company,"2 290,00",https://www.pricerunner.se/pl/710-5297723/Elartiklar/Eufy-Video-Doorbell-2K-priser,194644016975
Elartiklar,Senic,1770001-04,3202852501,Senic FOH SMART-BRYTARE ANTRACIT MATT,5,"789,00",Amazon.se,"718,80",Amazon.se,"718,80",,,Amazon.se,"718,80",Power SE,"719,00",tink,"789,00",ComputerSalg.se,"938,00",Lamp24,"1 399,00",,,,,,,,,,,https://www.pricerunner.se/pl/710-3202852501/Elartiklar/Senic-FOH-SMART-BRYTARE-ANTRACIT-MATT-priser,4260476940248
Elartiklar,Senic,1770002-01,3201750083,Senic FOH SMART-STRÖMBRYTARE SVART MATT 3 ST,5,"2 060,00",Power SE,"1 899,00",Power SE,"1 899,00",,,Power SE,"1 899,00",Amazon.se,"1 968,80",tink,"2 060,00",ComputerSalg.se,"2 597,00",Lamp24,"3 799,00",,,,,,,,,,,https://www.pricerunner.se/pl/710-3201750083/Elartiklar/Senic-FOH-SMART-STROEMBRYTARE-SVART-MATT-3-ST-priser,4260476940217
Elartiklar,Hombli,300012-01,3200529489,Hombli Chime (Door Bell),8,"299,00",tink,"299,00",Proshop,"299,00",,,tink,"299,00",Proshop,"299,00",Tingstad,"310,00",Net2World,"339,00",Kontorsgiganten,"470,00",Lilon,"549,00",Elektronik24,"550,00",Fcomputer SE,"561,00",,,,,https://www.pricerunner.se/pl/710-3200529489/Elartiklar/Hombli-Chime-%28Door-Bell%29-priser,8719323915848
Elartiklar,Philips,2300031,3200018018,Philips Smart Plug 3-pack,1,"987,00",tink,"987,00",,,,,tink,"987,00",,,,,,,,,,,,,,,,,,,https://www.pricerunner.se/pl/710-3200018018/Elartiklar/Philips-Smart-Plug-3-pack-priser,8719514342309
Elartiklar,Ring,360013 - 01,3200318495,Ring Alarm Motion Detector 2nd Gen,16,"350,00",Power SE,"349,00",Power SE,"349,00",150,90046,Power SE,"349,00",Proshop,"349,00",Dustin Home,"349,00",tink,"350,00",Kjell & Company,"390,00",Komplett,"399,00",Compumail,"460,00",ComputerSalg.se,"473,00",Smartodesign,"479,00",Elektronikhuset Ljud & Data,"499,00",https://www.pricerunner.se/pl/710-3200318495/Elartiklar/Ring-Alarm-Motion-Detector-2nd-Gen-priser,840080582931
Elartiklar,,250016-01,3202483208,Meross Smart Wifi Strömbrytare vit,7,"299,00",iPhonebutiken,"229,00",iPhonebutiken,"229,00",,,iPhonebutiken,"229,00",Proshop,"294,00",Teknavi,"294,38",tink,"299,00",Amazon.se,"325,83",Datia,"346,00",Compliq,"415,00",,,,,,,https://www.pricerunner.se/pl/710-3202483208/Elartiklar/Meross-Smart-Wifi-Stroembrytare-vit-priser,680306682393
Elartiklar,Innr,800011-01,5234337,Innr SP 220 1-way,9,"279,00",Compumail,"265,00",Compumail,"265,00",,,Compumail,"265,00",tink,"279,00",Cdon,"299,00",Komplett,"299,00",Lamp24,"349,00",ComputerSalg.se,"357,00",Buyersclub,"399,00",Fcomputer SE,"618,00",Elektronik24,"620,00",,,https://www.pricerunner.se/pl/710-5234337/Elartiklar/Innr-SP-220-1-way-priser,8718781552657
Elartiklar,Hombli,300021-02,3200546364,Hombli HBDP-0100 Smart Doorbell 2,17,"1 499,00",Compumail,"1 122,00",Compumail,"1 122,00",1558,231882,Compumail,"1 122,00",Coolshop SE,"1 195,00",Cdon,"1 195,00",Proshop,"1 195,00",Spelbutiken,"1 195,00",Gameshop,"1 452,00",tink,"1 499,00",Pluus SE,"1 538,00",Elektronik24,"1 563,00",ComputerSalg.se,"1 866,00",https://www.pricerunner.se/pl/710-3200546364/Elartiklar/Hombli-HBDP-0100-Smart-Doorbell-2-priser,8719323918399
Elartiklar,Arlo,1210008-01,3200047546,Arlo Video Doorbell Wire-Free,25,"1 999,00",Power SE,"1 590,00",Power SE,"1 590,00",102,25229,Power SE,"1 590,00",Kjell & Company,"1 790,00",Elgiganten,"1 790,00",Compumail,"1 824,00",Coolshop SE,"1 849,00",Cdon,"1 849,00",Proshop,"1 870,00",Webhallen SE,"1 890,00",Komplett,"1 990,00",tink,"1 999,00",https://www.pricerunner.se/pl/710-3200047546/Elartiklar/Arlo-Video-Doorbell-Wire-Free-priser,193108142113
Elartiklar,Hombli,300026-01,3200516036,Hombli Smart Plug 23A68D 3pcs,13,"449,00",Compumail,"363,00",Compumail,"363,00",1749,251489,Compumail,"363,00",Proshop,"379,00",tink,"449,00",Coolshop SE,"479,00",Cdon,"479,00",Spelbutiken,"479,00",Pluus SE,"492,50",iPhonebutiken,"499,00",Ginza AB,"499,00",Tingstad,"562,50",https://www.pricerunner.se/pl/710-3200516036/Elartiklar/Hombli-Smart-Plug-23A68D-3pcs-priser,8719323917170
Elartiklar,Netatmo,170008-01,5289796,Netatmo Smart Video Doorbell,12,"2 790,00",Power SE,"2 399,00",Power SE,"2 399,00",81,21124,Power SE,"2 399,00",Proshop,"2 399,00",tink,"2 790,00",Elon,"2 890,00",NetOnNet,"2 990,00",ComputerSalg.se,"3 197,00",Cdon,"3 199,00",iPhonebutiken,"3 199,00",Elgiganten,"3 290,00",Elektronik24,"3 743,00",https://www.pricerunner.se/pl/710-5289796/Elartiklar/Netatmo-Smart-Video-Doorbell-priser,3700730503617
Elartiklar,Hombli,300014-01,3202045893,"Hombli Smart Outdoor Socket, Black",12,"299,00",Proshop,"279,00",Proshop,"279,00",,,Proshop,"279,00",tink,"299,00",Coolshop SE,"312,00",Cdon,"312,00",Spelbutiken,"312,00",Ginza AB,"319,00",Datia,"331,00",Gameshop,"363,00",Pluus SE,"379,00",Compliq,"402,50",https://www.pricerunner.se/pl/710-3202045893/Elartiklar/Hombli-Smart-Outdoor-Socket-Black-priser,8719323918115
Elartiklar,Hombli,300049-02,3200569312,Hombli Smart Socket (EU) Black,11,"249,00",tink,"249,00",Cdon,"259,00",,,tink,"249,00",Cdon,"259,00",Net2World,"279,00",Datia,"288,00",Coolshop SE,"289,00",Spelbutiken,"289,00",Tingstad,"306,25",Proshop,"322,00",Gameshop,"343,00",Compliq,"346,25",https://www.pricerunner.se/pl/710-3200569312/Elartiklar/Hombli-Smart-Socket-%28EU%29-Black-priser,8719323917576
Elartiklar,Ring,360020-01,3200127380,Ring Pro 2 8VRCPZ-0EU0 Video Doorbell,15,"2 299,00",Proshop,"1 999,00",Proshop,"1 999,00",1624,238518,Proshop,"1 999,00",Elgiganten,"2 290,00",tink,"2 299,00",Komplett,"2 299,00",Dustin Home,"2 299,00",Compumail,"2 454,00",ComputerSalg.se,"2 464,00",Cdon,"2 479,00",Vitvaruexperten,"2 590,00",Webhallen SE,"2 749,00",https://www.pricerunner.se/pl/710-3200127380/Elartiklar/Ring-Pro-2-8VRCPZ-0EU0-Video-Doorbell-priser,842861112986
Elartiklar,Google,780021-01,3200315370,Google Nest Doorbell Battery GWX3T,19,"2 099,00",Compumail,"1 773,00",Compumail,"1 773,00",39,9688,Compumail,"1 773,00",Cdon,"1 789,00",Soldfy,"1 789,00",NetOnNet,"1 790,00",Bauhaus,"1 790,00",Inet,"1 890,00",Proshop,"1 949,00",Webhallen SE,"1 990,00",Clas Ohlson,"1 990,00",MediaMarkt,"1 990,00",https://www.pricerunner.se/pl/710-3200315370/Elartiklar/Google-Nest-Doorbell-Battery-GWX3T-priser,193575008554
Elartiklar,Innr,800007-1,3202264049,"Innr Outdoor Extension Cable 2 M OEC 120, 2 m",9,"179,00",tink,"179,00",Cdon,"179,00",,,tink,"179,00",Cdon,"179,00",Amazon.se,"179,00",Compumail,"194,00",Komplett,"199,00",Lamp24,"199,00",ComputerSalg.se,"233,00",Fcomputer SE,"512,00",Elektronik24,"574,00",,,https://www.pricerunner.se/pl/710-3202264049/Elartiklar/Innr-Outdoor-Extension-Cable-2-M-OEC-120-2-m-priser,8718781552572
Elartiklar,EZVIZ,1430021-01,3200596466,EZVIZ DB1C,6,"1 299,00",tink,"1 299,00",Amazon.se,"1 299,99",,,tink,"1 299,00",Amazon.se,"1 299,99",Power SE,"1 300,00",Cdon,"1 709,00",Proshop,"1 709,00",ComputerSalg.se,"1 881,00",,,,,,,,,https://www.pricerunner.se/pl/710-3200596466/Elartiklar/EZVIZ-DB1C-priser,6941545604565
Elartiklar,Philips,230020-01,3200068598,Philips Hue Dimmer Switch EU/UK,49,"219,00",Power SE,"185,00",Power SE,"185,00",45,10520,Power SE,"185,00",Amazon.se,"185,00",Mätteknik för alla,"188,00",Komplett,"199,00",Hornbach,"199,00",Clas Ohlson,"199,90",Dustin Home,"203,00",Compumail,"211,00",Lampemesteren.se,"215,00",Designlite SE,"215,00",https://www.pricerunner.se/pl/710-3200068598/Elartiklar/Philips-Hue-Dimmer-Switch-EU-UK-priser,8719514274617
Elartiklar,Hombli,300009-01,3200598922,"Hombli Smart Switch Module, Black",7,"299,00",Datia,"250,00",Datia,"250,00",,,Datia,"250,00",Tingstad,"257,50",Compliq,"288,75",tink,"299,00",Lilon,"449,00",Cdon,"449,00",Amazon.se,"449,00",,,,,,,https://www.pricerunner.se/pl/710-3200598922/Elartiklar/Hombli-Smart-Switch-Module-Black-priser,8719323918207
Elartiklar,Ring,360023-01,3200028136,Ring Chime Gen 2,19,"350,00",Compumail,"335,00",Compumail,"335,00",1002,167924,Compumail,"335,00",Power SE,"346,00",Proshop,"346,00",tink,"350,00",Kjell & Company,"359,00",Webhallen SE,"399,00",Komplett,"419,00",Dustin Home,"439,00",Elgiganten,"446,00",Elektronikhuset Ljud & Data,"449,00",https://www.pricerunner.se/pl/710-3200028136/Elartiklar/Ring-Chime-Gen-2-priser,842861110371
Elartiklar,Sonos,220010-02,3200598419,Sonos One/Play:1 Long Power Cable Black,7,"289,00",tink,"289,00",Inet,"289,00",459,90087,tink,"289,00",Inet,"289,00",Hembiobutiken,"289,00",Komplett,"299,00",Datia,"351,00",Elgiganten,"429,00",Compliq,"515,00",,,,,,,https://www.pricerunner.se/pl/710-3200598419/Elartiklar/Sonos-One-Play-1-Long-Power-Cable-Black-priser,8717755775221
Elartiklar,Hombli,300027-01,3201715644,Hombli Smart Switch Module Duo Black,5,"349,00",Proshop,"250,00",Proshop,"250,00",,,Proshop,"250,00",Datia,"312,00",Tingstad,"322,50",tink,"349,00",Compliq,"375,00",,,,,,,,,,,https://www.pricerunner.se/pl/710-3201715644/Elartiklar/Hombli-Smart-Switch-Module-Duo-Black-priser,8719323918214
Elartiklar,SwitchBot,50004-02,3201773472,SwitchBot Curtain U Rail 2,5,"749,00",NetOnNet,"679,00",NetOnNet,"679,00",57,14417,NetOnNet,"679,00",StyraHem,"699,00",Proshop,"699,00",tink,"749,00",Webhallen SE,"849,00",,,,,,,,,,,https://www.pricerunner.se/pl/710-3201773472/Elartiklar/SwitchBot-Curtain-U-Rail-2-priser,850007706548
Elartiklar,Arlo,1210008-02,3200056779,Arlo AVD2001-100EUS Video Doorbell,25,"1 999,00",Power SE,"1 590,00",Power SE,"1 590,00",401,81087,Power SE,"1 590,00",Cdon,"1 699,00",Webhallen SE,"1 790,00",NetOnNet,"1 790,00",Komplett,"1 790,00",MediaMarkt,"1 790,00",Elgiganten,"1 790,00",Gameshop,"1 833,00",Inet,"1 890,00",Dustin Home,"1 890,00",https://www.pricerunner.se/pl/710-3200056779/Elartiklar/Arlo-AVD2001-100EUS-Video-Doorbell-priser,193108141529
Elartiklar,EZVIZ,1430015-01,3200264523,EZVIZ CS-CMT-A0-Transformer,4,"169,00",tink,"169,00",Låsgiganten,"169,00",,,tink,"169,00",Låsgiganten,"169,00",ComputerSalg.se,"361,00",Cdon,"418,00",,,,,,,,,,,,,https://www.pricerunner.se/pl/710-3200264523/Elartiklar/EZVIZ-CS-CMT-A0-Transformer-priser,6941545603407
Elartiklar,Sonos,220010-03,3200568651,Sonos One/Play:1 short Power Cable White,8,"289,00",Hembiobutiken,"175,00",Hembiobutiken,"175,00",1818,258340,Hembiobutiken,"175,00",Komplett,"199,00",Tele-Hå,"199,00",Elgiganten,"269,00",Inet,"279,00",tink,"289,00",Datia,"301,00",Compliq,"398,75",,,,,https://www.pricerunner.se/pl/710-3200568651/Elartiklar/Sonos-One-Play-1-short-Power-Cable-White-priser,8717755775276
Elartiklar,Sonos,220010-01,3202263880,"Sonos vinklad strömkabel, 0,5 m Svart",5,"289,00",Hembiobutiken,"175,00",Hembiobutiken,"175,00",,,Hembiobutiken,"175,00",Komplett,"199,00",Elgiganten,"269,00",Inet,"279,00",tink,"289,00",,,,,,,,,,,https://www.pricerunner.se/pl/710-3202263880/Elartiklar/Sonos-vinklad-stroemkabel-0-5-m-Svart-priser,8717755775269
Elartiklar,Ring,3600013,5301190,Ring Video Doorbell 3 Plus,2,"1 899,00",Elgiganten,"1 686,00",Elgiganten,"1 686,00",1554,230280,Elgiganten,"1 686,00",tink,"1 899,00",,,,,,,,,,,,,,,,,https://www.pricerunner.se/pl/710-5301190/Elartiklar/Ring-Video-Doorbell-3-Plus-priser,842861108378
Elartiklar,Hombli,3000027,3200506203,Hombli Smart Doorbell 2,8,"2 599,00",Inskal,"1 449,00",Inskal,"1 449,00",,,Inskal,"1 449,00",Tingstad,"1 570,00",iPhonebutiken,"1 599,00",Net2World,"1 639,00",Elektronik24,"1 671,00",Lilon,"2 089,00",Kontorsgiganten,"2 247,50",tink,"2 599,00",,,,,https://www.pricerunner.se/pl/710-3200506203/Elartiklar/Hombli-Smart-Doorbell-2-priser,8719323917255
Elartiklar,Philips Hue,230022-01,5043155,Philips Hue Smart Plug 1-way,47,"329,00",Mätteknik för alla,"283,00",Mätteknik för alla,"283,00",25,5279,Mätteknik för alla,"283,00",Webhallen SE,"289,00",Power SE,"299,00",MediaMarkt,"299,00",Bauhaus,"299,00",Komplett,"299,00",Hornbach,"299,00",Teknikproffset,"318,00",Elbutik,"319,00",Inet,"319,00",https://www.pricerunner.se/pl/710-5043155/Elartiklar/Philips-Hue-Smart-Plug-1-way-priser,8719514342309
Elartiklar,Innr,800012-01,5236202,Innr SP 220 1-way 2pcs,10,"505,99",Cdon,"439,00",Cdon,"439,00",1917,269929,Cdon,"439,00",Amazon.se,"439,00",tink,"505,99",Compumail,"534,00",ComputerSalg.se,"541,00",Komplett,"579,00",Buyersclub,"629,00",Lamp24,"649,00",Elektronik24,"904,00",Fcomputer SE,"1 091,00",https://www.pricerunner.se/pl/710-5236202/Elartiklar/Innr-SP-220-1-way-2pcs-priser,8718781552664
Elartiklar,Eve,140016-01,3200132891,Eve Light Switch,10,"1 090,00",tink,"1 090,00",Proshop,"1 174,00",,,tink,"1 090,00",Proshop,"1 174,00",ComputerSalg.se,"1 175,00",Cdon,"1 209,00",iPhonebutiken,"1 399,00",Compumail,"1 550,00",Net2World,"1 579,00",Ginza AB,"1 599,00",Elektronik24,"1 821,00",Lamp24,"2 199,00",https://www.pricerunner.se/pl/710-3200132891/Elartiklar/Eve-Light-Switch-priser,4260195392106
Elartiklar,Eve,140007-01,5302264,Eve Energy 10EBO8301 1-way,13,"459,00",Compumail,"443,00",Compumail,"443,00",5,1378,Compumail,"443,00",Webhallen SE,"449,00",Komplett,"449,00",Proshop,"449,00",Inet,"449,00",tink,"459,00",ComputerSalg.se,"477,00",iPhonebutiken,"499,00",Cdon,"526,00",Mstore,"565,00",https://www.pricerunner.se/pl/710-5302264/Elartiklar/Eve-Energy-10EBO8301-1-way-priser,4260195391994
Elartiklar,Eve,140010-01,5316069,Eve Energy 2-pack,13,"895,00",Proshop,"875,00",Proshop,"875,00",575,107951,Proshop,"875,00",Mstore,"875,00",tink,"895,00",Inet,"898,00",Cdon,"898,00",Elgiganten,"898,00",iPhonebutiken,"899,00",ComputerSalg.se,"916,00",Datia,"1 043,00",Datagrottan,"1 090,00",https://www.pricerunner.se/pl/710-5316069/Elartiklar/Eve-Energy-2-pack-priser,4260195392014
Elartiklar,Sonos,220010-04,3201985302,Sonos PCS1LEU1 3.5m,6,"289,00",tink,"289,00",Inet,"289,00",210,48119,tink,"289,00",Inet,"289,00",Hembiobutiken,"289,00",Komplett,"299,00",Elgiganten,"429,00",ComputerSalg.se,"431,00",,,,,,,,,https://www.pricerunner.se/pl/710-3201985302/Elartiklar/Sonos-PCS1LEU1-3.5m-priser,8717755775238
Elartiklar,Elgato,140027-01,4607893,Elgato Eve Motion,10,"319,00",tink,"319,00",MaxGaming,"439,00",169,100670,tink,"319,00",MaxGaming,"439,00",ComputerSalg.se,"488,00",Net2World,"490,00",Webhallen SE,"499,00",Power SE,"499,00",Cdon,"513,00",Proshop,"541,00",MacForum,"549,00",iPhonebutiken,"599,00",https://www.pricerunner.se/pl/710-4607893/Elartiklar/Elgato-Eve-Motion-priser,4260195390980
Elartiklar,Ring,360010-01,5191585,Ring Video Doorbell 3,8,"1 599,00",Proshop,"1 349,00",Proshop,"1 349,00",92,22705,Proshop,"1 349,00",Kjell & Company,"1 490,00",Elgiganten,"1 490,00",tink,"1 599,00",Webhallen SE,"1 790,00",Cdon,"1 890,00",Vitvaruexperten,"1 890,00",Datia,"3 202,00",,,,,https://www.pricerunner.se/pl/710-5191585/Elartiklar/Ring-Video-Doorbell-3-priser,842861112351
Elartiklar,Senic,1770003-01,3200128836,Senic Friends of Hue Outdoor Switch,6,"889,00",Power SE,"710,00",Power SE,"710,00",323,224466,Power SE,"710,00",Proshop,"710,00",tink,"889,00",Cdon,"945,00",ComputerSalg.se,"1 076,00",Lamp24,"1 599,00",,,,,,,,,https://www.pricerunner.se/pl/710-3200128836/Elartiklar/Senic-Friends-of-Hue-Outdoor-Switch-priser,4260476940323
Elartiklar,,250004-01,3202482975,Meross Smart Wifi Strömbrytare (1-pol/trappströmbrytare) vit,4,"299,00",iPhonebutiken,"249,00",iPhonebutiken,"249,00",,,iPhonebutiken,"249,00",tink,"299,00",Amazon.se,"301,01",Proshop,"364,00",,,,,,,,,,,,,https://www.pricerunner.se/pl/710-3202482975/Elartiklar/Meross-Smart-Wifi-Stroembrytare-%281-pol-trappstroembrytare%29-vit-priser,680306682409
Förstärkare & Receivers,Sonos,220017-01,5042573,Sonos Port,19,"4 790,00",Amazon.se,"4 664,00",Amazon.se,"4 664,00",71,42387,Amazon.se,"4 664,00",tink,"4 790,00",Tele-Hå,"4 790,00",Hages,"4 790,00",Takt & Ton,"4 790,00",Lars Bengtsson Ljud /Video,"4 790,00",Dustin Home,"4 790,00",Ljudcenter,"4 799,00",Sonos,"4 799,00",Hi-Fi Klubben Sverige,"4 799,00",https://www.pricerunner.se/pl/96-5042573/Foerstaerkare-Receivers/Sonos-Port-priser,8717755776723
Husdjur,Bold,160010-01,3202555054,Bold Clicker Fjärrkontroll,2,"459,00",tink,"459,00",Proshop,"459,00",,,tink,"459,00",Proshop,"459,00",,,,,,,,,,,,,,,,,https://www.pricerunner.se/pl/456-3202555054/Husdjur/Bold-Clicker-Fjaerrkontroll-priser,8719992868049
