Category	Brand	Your SKU	Product ID	Product Name	Number of merchants	Price	Lowest price incl us	Lowest price incl us	Lowest price excl us	Lowest price excl us	Popularity Rank (category)	Popularity Rank (global)	Price 1 - Merchant Name	Price 1 - Price	Price 1 - Stock status	Price 1 - Shipping cost	Price 2 - Merchant Name	Price 2 - Price	Price 2 - Stock status	Price 2 - Shipping cost	Price 3 - Merchant Name	Price 3 - Price	Price 3 - Stock status	Price 3 - Shipping cost	Price 4 - Merchant Name	Price 4 - Price	Price 4 - Stock status	Price 4 - Shipping cost	Price 5 - Merchant Name	Price 5 - Price	Price 5 - Stock status	Price 5 - Shipping cost	Price 6 - Merchant Name	Price 6 - Price	Price 6 - Stock status	Price 6 - Shipping cost	Price 7 - Merchant Name	Price 7 - Price	Price 7 - Stock status	Price 7 - Shipping cost	Price 8 - Merchant Name	Price 8 - Price	Price 8 - Stock status	Price 8 - Shipping cost	Price 9 - Merchant Name	Price 9 - Price	Price 9 - Stock status	Price 9 - Shipping cost	Price 10 - Merchant Name	Price 10 - Price	Price 10 - Stock status	Price 10 - Shipping cost	Link to product	Gtin14
Accesspunkter, Bryggor & Repeatrar	Google	780008-01	5221532	Google Nest Wifi Point	18	1 790,00	Compumail	1 347,00	Compumail	1 347,00	14	15832	Compumail	1 347,00	In stock	62,00	Elgruvan	1 389,00	In stock	0,00	ComputerSalg.se	1 395,00	In stock	0,00	Amazon.se	1 467,00	In stock		Webhallen SE	1 499,00	In stock	0,00	Cdon	1 509,00	In stock	0,00	TechInn	1 610,99	In stock		Elektronikhuset Ljud & Data	1 619,00	Unknown stock status	0,00	Proshop	1 666,00	In stock	0,00	Fcomputer SE	1 769,00	In stock	0,00	https://www.pricerunner.se/pl/272-5221532/Accesspunkter-Bryggor-Repeatrar/Google-Nest-Wifi-Point-priser	00193575004648
Barnsäkerhet		124002-01	3202549628	EBO	6	1 290,00	tink	1 290,00	Amazon.se	1 390,84			tink	1 290,00	In stock	0,00	Amazon.se	1 390,84	In stock		ShopBetter.se	1 469,99	In stock	0,00	ullakulla se	1 479,99	In stock	0,00	Cdon	1 552,40	In stock	19,00	RDEButik	1 761,00	Unknown stock status	169,00																	https://www.pricerunner.se/pl/497-3202549628/Barnsaekerhet/EBO-priser	06972822120188
Batterier & Laddbart	Ring	360008-01	5151271	Ring Quick Release	16	349,00	Compumail	318,00	Compumail	318,00	640	59918	Compumail	318,00	In stock	62,00	ComputerSalg.se	335,00	In stock	49,00	Inet	339,00	Out of stock	0,00	Elgiganten	346,00	In stock	39,00	tink	349,00	In stock	0,00	Proshop	353,00	In stock	59,00	Kjell & Company	379,90	In stock	49,00	Dustin Home	395,00	In stock	69,00	Datia	434,00	Unknown stock status	124,00	Westium Data	440,00	In stock	150,00	https://www.pricerunner.se/pl/528-5151271/Batterier-Laddbart/Ring-Quick-Release-priser	00842861101041
Batterier & Laddbart	Spacetalk	370003-01	3202903647	Spacetalk Adventurer Charging Dock and Stand	1	340,00	tink	340,00					tink	340,00	In stock	0,00																																					https://www.pricerunner.se/pl/528-3202903647/Batterier-Laddbart/Spacetalk-Adventurer-Charging-Dock-and-Stand-priser	00744109302541
Batterier & Laddbart	Arlo	1210016-01	3200468484	Arlo VMA5600B-20000S	12	749,00	Inet	699,00	Inet	699,00	728	66897	Inet	699,00	In stock	0,00	tink	749,00	In stock	0,00	Webhallen SE	749,00	Out of stock	0,00	Elgiganten	749,00	In stock	39,00	Gravis.de	772,27	In stock	275,74	MJ Multimedia	775,00	Out of stock	89,00	Coolshop SE	793,00	In stock	0,00	Elon	795,00	In stock	0,00	Komplett	799,00	In stock	0,00	Ginza AB	939,00	Out of stock	0,00	https://www.pricerunner.se/pl/528-3200468484/Batterier-Laddbart/Arlo-VMA5600B-20000S-priser	00193108141574
Batterier & Laddbart	Arlo	1210016-02	3200347672	Arlo VMA5600-20000S	17	749,00	Compumail	696,00	Compumail	696,00	651	60659	Compumail	696,00	In stock	62,00	Inet	699,00	In stock	0,00	St George Security Store	745,00	In stock	69,00	tink	749,00	In stock	0,00	Webhallen SE	749,00	In stock	0,00	MediaMarkt	749,00	In stock	0,00	Kjell & Company	749,00	In stock	0,00	Elgiganten	749,00	In stock	39,00	MJ Multimedia	775,00	Out of stock	89,00	Komplett	799,00	In stock	0,00	https://www.pricerunner.se/pl/528-3200347672/Batterier-Laddbart/Arlo-VMA5600-20000S-priser	00193108141567
Batterier & Laddbart	Arlo	1210003-01	5280446	Arlo VMA3600	25	695,00	Power SE	466,00	Power SE	466,00	185	17895	Power SE	466,00	In stock	49,00	Proshop	466,00	In stock	59,00	Dustin Home	466,00	In stock	69,00	Inet	495,00	In stock	0,00	Elgiganten	495,00	In stock	39,00	MJ Multimedia	499,00	Out of stock	89,00	Webhallen SE	499,00	Out of stock	49,00	Compumail	543,00	In stock	62,00	ComputerSalg.se	548,00	In stock	49,00	MediaMarkt	549,00	In stock	0,00	https://www.pricerunner.se/pl/528-5280446/Batterier-Laddbart/Arlo-VMA3600-priser	00193108141093
Batterier & Laddbart	ABUS	130009-01	3204612654	ABUS Solcellspanel (för WLAN Battery Cam) vit	2	654,00	tink	654,00	ComputerSalg.se	1 708,00			tink	654,00	In stock	0,00	ComputerSalg.se	1 708,00	In stock	0,00																																	https://www.pricerunner.se/pl/528-3204612654/Batterier-Laddbart/ABUS-Solcellspanel-%28foer-WLAN-Battery-Cam%29-vit-priser	04003318966668
Batterier & Laddbart	Sonos	220003-02	3200110991	Sonos Roam Wireless Charger	18	549,00	Davids	498,00	Davids	498,00	150	14931	Davids	498,00	In stock	0,00	Komplett	498,00	In stock	19,00	MediaMarkt	498,00	In stock	49,00	Hi-Fi Klubben Sverige	498,00	In stock	0,00	Sonos	499,00	In stock	0,00	Inet	499,00	Out of stock	0,00	Hembiobutiken	499,00	In stock	0,00	Dustin Home	499,00	Preorder	29,00	Elgiganten	499,00	In stock	39,00	Gravis.de	540,66	In stock	275,74	https://www.pricerunner.se/pl/528-3200110991/Batterier-Laddbart/Sonos-Roam-Wireless-Charger-priser	08717755777966
Belysning	Meross	250019-01	3203897073	Meross WLAN LED sänglampa Väggarmatur	6	550,00	ComputerSalg.se	497,00	ComputerSalg.se	497,00	1506	87985	ComputerSalg.se	497,00	In stock	49,00	iPhonebutiken	499,00	Out of stock	49,00	tink	550,00	In stock	0,00	Amazon.se	561,07	In stock		Compumail	591,00	Out of stock	62,00	Fcomputer SE	739,00	In stock	69,00																	https://www.pricerunner.se/pl/460-3203897073/Belysning/Meross-WLAN-LED-saenglampa-Vaeggarmatur-priser	06973696560483
