product_id,product_name,brand_name,campaign_name,impressions,spend,inline_link_clicks,date_start,date_stop
8813,Hombli Smart Spot GU10 Colour 2 + 2 Gratis,Hombli,tink_NL_PROSP_CAT_06062021_V3,3649,20.93,17,2021-07-01,2021-07-01
6890,Google Nest Hub (Gen. 2) 2-pack - Smart Display,Google,tink_NL_PROSP_CAT_06062021_V3,2127,8.35,13,2021-07-01,2021-07-01
10053,Google Nest Audio + Google Nest Hub (Gen. 2),Google,tink_NL_PROSP_CAT_06062021_V3,1417,7.65,6,2021-07-01,2021-07-01
6891,Google Nest Hub (Gen. 2) + Gratis Google Nest Mini,Google,tink_NL_PROSP_CAT_06062021_V3,740,3.56,6,2021-07-01,2021-07-01
11075,Sonos Roam 2-pack - Draadloze Waterdichte Smart Speaker,Sonos,tink_NL_PROSP_CAT_06062021_V3,704,2.58,11,2021-07-01,2021-07-01
10053,Google Nest Audio + Google Nest Hub (Gen. 2),Google,tink_NL_RET_CAT_17072020_5,487,7.19,4,2021-07-01,2021-07-01
8904,Google Nest Hub (Gen. 2) + Philips Hue White & Color Ambiance E27 Bluetooth,Google,tink_NL_PROSP_CAT_06062021_V3,427,0.88,0,2021-07-01,2021-07-01
4553098441370852,4553098441370852,4553098441370852,tink_NL_PROSP_CAT_06062021_V3,381,1.24,2,2021-07-01,2021-07-01
8195,Google Nest Mini 2-pack,Google,tink_NL_PROSP_CAT_06062021_V3,362,1.32,2,2021-07-01,2021-07-01
6890,Google Nest Hub (Gen. 2) 2-pack - Smart Display,Google,tink_NL_RET_CAT_17072020_5,341,6.41,4,2021-07-01,2021-07-01
9415,Google Nest Hub (Gen. 2) + gratis Philips Hue White E27 Bluetooth - Ledlampen 2-pack,Google,tink_NL_PROSP_CAT_06062021_V3,335,1.64,3,2021-07-01,2021-07-01
2548707065219374,2548707065219374,2548707065219374,tink_NL_PROSP_CAT_06062021_V3,261,1.1,4,2021-07-01,2021-07-01
10051,Google Nest Audio Stereo Set,Google,tink_NL_PROSP_CAT_06062021_V3,256,1.35,7,2021-07-01,2021-07-01
2548707065219374,2548707065219374,2548707065219374,tink_NL_RET_CAT_17072020_5,252,4.38,2,2021-07-01,2021-07-01
8813,Hombli Smart Spot GU10 Colour 2 + 2 Gratis,Hombli,tink_NL_RET_CAT_17072020_5,238,4.73,1,2021-07-01,2021-07-01
10502,Bold Smart Lock 2-pack SX33 + gratis Tile Mate (2022),Bold,tink_NL_PROSP_CAT_06062021_V3,226,1.34,2,2021-07-01,2021-07-01
10052,Google Nest Audio + Google Nest Mini,Google,tink_NL_PROSP_CAT_06062021_V3,190,1.06,1,2021-07-01,2021-07-01
6891,Google Nest Hub (Gen. 2) + Gratis Google Nest Mini,Google,tink_NL_RET_CAT_17072020_5,179,2.38,2,2021-07-01,2021-07-01
11069,Sonos Roam - Draadloze Waterdichte Smart Speaker - Shadow Black,Sonos,tink_NL_PROSP_CAT_06062021_V3,144,1.02,3,2021-07-01,2021-07-01
11237,EZVIZ C3X 2-pack + Google Nest Hub (Gen. 2),EZVIZ,tink_NL_PROSP_CAT_06062021_V3,138,0.54,3,2021-07-01,2021-07-01
10673,Google Nest Audio 3-pack,Google,tink_NL_PROSP_CAT_06062021_V3,127,0.37,4,2021-07-01,2021-07-01
3643355179051502,3643355179051502,3643355179051502,tink_NL_RET_CAT_17072020_5,119,1.99,1,2021-07-01,2021-07-01
2649,Bosch Smart Home Slimme Stekker - Wit,Bosch,tink_NL_RET_CAT_17072020_5,106,1.68,2,2021-07-01,2021-07-01
8427,Netatmo Wandbeugel voor Windmeter en Regensensor - Zwart,Netatmo,tink_NL_RET_CAT_17072020_5,103,0.89,0,2021-07-01,2021-07-01
4417369461620278,4417369461620278,4417369461620278,tink_NL_PROSP_CAT_06062021_V3,100,0.44,0,2021-07-01,2021-07-01
10035,Philips Hue White & Color Ambiance E27 Bluetooth Starter Kit + Google Nest Hub (Gen. 2),Philips,tink_NL_PROSP_CAT_06062021_V3,100,0.49,0,2021-07-01,2021-07-01
7909,Google Nest Mini - Slimme Speaker - Zwart,Google,tink_NL_RET_CAT_17072020_5,99,1.54,1,2021-07-01,2021-07-01
11085,EZVIZ C2C Pro - Smart Home Camera - Wit,EZVIZ,tink_NL_RET_CAT_17072020_5,92,1.39,0,2021-07-01,2021-07-01
4604,Bosch Smart Home Eyes 2-pack - Buitencamera,Bosch,tink_NL_PROSP_CAT_06062021_V3,91,0.45,1,2021-07-01,2021-07-01
7910,Google Nest Mini - Slimme Speaker - Wit,Google,tink_NL_RET_CAT_17072020_5,89,1,1,2021-07-01,2021-07-01
8768,tado° Slimme Bedrade Thermostaat Starter Kit V3+ incl. Bridge + 6-pack Radiatorknoppen,tado°,tink_NL_RET_CAT_17072020_5,88,1.05,0,2021-07-01,2021-07-01
4467,Bosch Smart Home Inbouw Schakelaar Rolluiken - Wit,Bosch,tink_NL_RET_CAT_17072020_5,86,1.32,0,2021-07-01,2021-07-01
4592,Google Nest Protect 3-pack + Google Nest Mini,Google,tink_NL_PROSP_CAT_06062021_V3,84,0.11,1,2021-07-01,2021-07-01
11283,Google Nest Hub (Gen. 2) + Hombli Smart Bulb Color 4-pack,Google,tink_NL_PROSP_CAT_06062021_V3,83,0.31,1,2021-07-01,2021-07-01
2990930427670179,2990930427670179,2990930427670179,tink_NL_PROSP_CAT_06062021_V3,80,0.36,0,2021-07-01,2021-07-01
11069,Sonos Roam - Draadloze Waterdichte Smart Speaker - Shadow Black,Sonos,tink_NL_RET_CAT_17072020_5,79,0.88,0,2021-07-01,2021-07-01
2822053834481589,2822053834481589,2822053834481589,tink_NL_PROSP_CAT_06062021_V3,78,0.29,0,2021-07-01,2021-07-01
8393,Google Nest Protect Batterij 4-pack - Rook- en Koolmonoxidemelders 2de generatie,Google,tink_NL_PROSP_CAT_06062021_V3,77,0.34,2,2021-07-01,2021-07-01
11208,Bosch Smart Home Controller + 3x Slimme Stekker + Google Nest Hub (Gen. 2),Bosch,tink_NL_PROSP_CAT_06062021_V3,75,0.15,2,2021-07-01,2021-07-01
3976782572366712,3976782572366712,3976782572366712,tink_NL_RET_CAT_17072020_5,74,1.39,0,2021-07-01,2021-07-01
11316,Marmitek Sense SE Bewegingssensor - Wit,Marmitek,tink_NL_RET_CAT_17072020_5,72,0.54,0,2021-07-01,2021-07-01
11336,Belkin SOUNDFORM Move True Wireless Earbuds 2-pack,Belkin,tink_NL_PROSP_CAT_06062021_V3,71,0.29,0,2021-07-01,2021-07-01
11070,Sonos Roam - Draadloze Waterdichte Smart Speaker - Lunar White,Sonos,tink_NL_PROSP_CAT_06062021_V3,70,0.54,1,2021-07-01,2021-07-01
9415,Google Nest Hub (Gen. 2) + gratis Philips Hue White E27 Bluetooth - Ledlampen 2-pack,Google,tink_NL_RET_CAT_17072020_5,67,0.62,0,2021-07-01,2021-07-01
3285660328164888,3285660328164888,3285660328164888,tink_NL_PROSP_CAT_06062021_V3,65,0.31,4,2021-07-01,2021-07-01
10340,Bosch Smart Home Controller + 3x Slimme Stekker,Bosch,tink_NL_PROSP_CAT_06062021_V3,63,0.25,2,2021-07-01,2021-07-01
11190,Hombli Smart Doorbell 2 + Google Nest Hub (Gen. 2),Hombli,tink_NL_RET_CAT_17072020_5,63,4.94,2,2021-07-01,2021-07-01
4327188910626966,4327188910626966,4327188910626966,tink_NL_RET_CAT_17072020_5,57,0.62,0,2021-07-01,2021-07-01
